Eval:::Epoch [1/500], Loss: 0.6926, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [54/500], Loss: 0.6981, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [55/500], Loss: 0.7202, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [56/500], Loss: 0.6937, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [57/500], Loss: 0.7089, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [58/500], Loss: 0.7012, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [59/500], Loss: 0.7032, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [60/500], Loss: 0.7016, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [61/500], Loss: 0.7037, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [62/500], Loss: 0.6944, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [63/500], Loss: 0.7145, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [64/500], Loss: 0.6949, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [65/500], Loss: 0.7048, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [66/500], Loss: 0.7018, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [67/500], Loss: 0.6997, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [68/500], Loss: 0.7020, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [69/500], Loss: 0.7052, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [70/500], Loss: 0.6987, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [71/500], Loss: 0.7256, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [72/500], Loss: 0.7349, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [73/500], Loss: 0.6925, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [74/500], Loss: 0.7047, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [75/500], Loss: 0.7029, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [76/500], Loss: 0.7099, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [77/500], Loss: 0.6978, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [78/500], Loss: 0.7223, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [79/500], Loss: 0.7094, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [80/500], Loss: 0.6973, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [81/500], Loss: 0.7020, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [82/500], Loss: 0.7071, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [83/500], Loss: 0.6996, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [84/500], Loss: 0.6986, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [85/500], Loss: 0.7054, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [86/500], Loss: 0.7008, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [87/500], Loss: 0.7016, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [88/500], Loss: 0.7008, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [89/500], Loss: 0.6929, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [90/500], Loss: 0.7043, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [91/500], Loss: 0.6948, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [92/500], Loss: 0.7045, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [93/500], Loss: 0.6979, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [94/500], Loss: 0.7013, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [95/500], Loss: 0.6939, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [96/500], Loss: 0.6991, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [97/500], Loss: 0.7114, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [98/500], Loss: 0.7195, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [99/500], Loss: 0.6940, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [100/500], Loss: 0.6968, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [101/500], Loss: 0.6946, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [102/500], Loss: 0.7037, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [103/500], Loss: 0.6978, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [104/500], Loss: 0.7060, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [105/500], Loss: 0.7015, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [106/500], Loss: 0.6950, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [107/500], Loss: 0.7128, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [108/500], Loss: 0.7003, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [109/500], Loss: 0.7056, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [110/500], Loss: 0.7018, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [111/500], Loss: 0.7211, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [112/500], Loss: 0.7001, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [113/500], Loss: 0.7031, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [114/500], Loss: 0.6988, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [115/500], Loss: 0.7212, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [116/500], Loss: 0.6957, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [117/500], Loss: 0.7022, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [118/500], Loss: 0.6979, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [119/500], Loss: 0.7083, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [120/500], Loss: 0.7085, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [121/500], Loss: 0.6999, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [122/500], Loss: 0.6988, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [123/500], Loss: 0.7027, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [124/500], Loss: 0.7004, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [125/500], Loss: 0.7105, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [126/500], Loss: 0.7002, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [127/500], Loss: 0.7044, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [128/500], Loss: 0.7115, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [129/500], Loss: 0.6946, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [130/500], Loss: 0.7011, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [131/500], Loss: 0.6968, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [132/500], Loss: 0.7017, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [133/500], Loss: 0.7076, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [134/500], Loss: 0.7029, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [135/500], Loss: 0.6958, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [136/500], Loss: 0.7008, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [137/500], Loss: 0.7146, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [138/500], Loss: 0.6976, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [139/500], Loss: 0.7111, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [140/500], Loss: 0.7004, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [141/500], Loss: 0.7075, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [142/500], Loss: 0.7020, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [143/500], Loss: 0.7054, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [144/500], Loss: 0.7024, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [145/500], Loss: 0.6978, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [146/500], Loss: 0.7014, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [147/500], Loss: 0.6970, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [148/500], Loss: 0.7148, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [149/500], Loss: 0.6983, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [150/500], Loss: 0.7120, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [151/500], Loss: 0.6992, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [152/500], Loss: 0.7047, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [153/500], Loss: 0.6983, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [154/500], Loss: 0.7077, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [155/500], Loss: 0.6955, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [156/500], Loss: 0.7062, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [157/500], Loss: 0.7006, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [158/500], Loss: 0.6976, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [159/500], Loss: 0.7036, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [160/500], Loss: 0.6981, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [161/500], Loss: 0.7077, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [162/500], Loss: 0.7023, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [163/500], Loss: 0.7025, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [164/500], Loss: 0.6934, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [165/500], Loss: 0.7044, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [166/500], Loss: 0.7015, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [167/500], Loss: 0.6993, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [168/500], Loss: 0.6993, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [169/500], Loss: 0.7060, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [170/500], Loss: 0.6985, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [171/500], Loss: 0.7069, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [172/500], Loss: 0.7001, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [173/500], Loss: 0.6964, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [174/500], Loss: 0.7015, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [175/500], Loss: 0.7017, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [176/500], Loss: 0.6929, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [177/500], Loss: 0.7067, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [178/500], Loss: 0.6974, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [179/500], Loss: 0.6981, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [180/500], Loss: 0.7030, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [181/500], Loss: 0.7028, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [182/500], Loss: 0.7089, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [183/500], Loss: 0.7020, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [184/500], Loss: 0.7011, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [185/500], Loss: 0.6991, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [186/500], Loss: 0.6999, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [187/500], Loss: 0.6950, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [188/500], Loss: 0.7036, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [189/500], Loss: 0.7015, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [190/500], Loss: 0.7012, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [191/500], Loss: 0.7016, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [192/500], Loss: 0.6970, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [193/500], Loss: 0.7050, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [194/500], Loss: 0.6997, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [195/500], Loss: 0.7019, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [196/500], Loss: 0.7025, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [197/500], Loss: 0.6944, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [198/500], Loss: 0.7026, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [199/500], Loss: 0.7014, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
Eval:::Epoch [200/500], Loss: 0.6972, Dev Accuracy: 0.5248, Dev F1 Score: 0.0000
